all_cc_inx,VAdjMat,MDEC.12,nAtomLAC,nAtomLC,khs.ssCH2,Kier1,Kier2,FMF,VP.1,C2SP3,nAtom,nAcid,mz,CCS,pred_CCS,delta_CCS_N_N_pred,relative_error,compound_class,pubchem_cid,adducts,cluster_inx
all-cc-840,-1.4904509046381913,0.5545209884254849,-0.5461305933844172,-1.0592973975370557,-0.4908664639473173,-0.9764265953678546,-0.861420168660862,0.32207592103045074,-0.8507269051684377,-0.4957260438053766,-0.6766214879366163,-0.6711111967386733,-1.1059798215981962,135.349314759037,135.251610821503,0.09770393753399276,0.0007218650327704691,Drug and Drug-Like Compounds,6603,[M+H]+,15
all-cc-1895,1.18026724986129,2.424823579957998,1.2556226549947418,1.4777316075700029,1.7966810593334963,1.510195797394921,1.4325949643144382,-1.3700239983779217,1.6486466020880008,1.7221009773151172,1.6660828681229556,0.5023287400738573,1.4357008520110084,291.8939628,287.40260973141704,4.491353068582953,0.015386933753269641,Lipids and lipid-like molecules,46891763,[M+Na]+,61
all-cc-2149,-0.4997100413754072,-0.9284064440864525,-0.8737220930897188,-0.6364592300192125,-0.6603144286347851,-0.6450108356777087,-0.6378873269598302,0.35341110472320136,-0.76047446573807,-0.4957260438053766,-0.6766214879366163,-0.6711111967386733,-0.6575499926167687,152.981162037607,157.13892482884222,-4.157762791235228,0.027178266499329737,Metabolites,17513,[M+H]+,15
all-cc-656,-0.15337684240947647,0.20883983203290885,-0.2185390936791156,-0.6364592300192125,-0.4908664639473173,-0.5534788213233495,-0.49414246685330304,0.845821134180663,-0.4381285075264642,-0.6663281223531069,-0.4375700230325783,-0.6711111967386733,-0.5657723795598094,163.493437092658,164.99639474688846,-1.502957654230471,0.009192770553711505,Drug and Drug-Like Compounds,3158,[M+H]+,15
all-cc-2469,0.20320749743976893,-0.9284064440864525,-0.8737220930897188,-0.4673239630120752,-0.2366945169161157,-0.25141219252238045,-0.3509499173677844,0.7694126813338122,-0.2597562450564903,-0.06922084743605088,-0.2941391440901555,-0.6711111967386733,-0.2041352989975568,181.0010669,180.9072713270023,0.09379557299769203,0.000518204531078883,Metabolites,638678,[M+H]+,56
all-cc-988,-0.07622738731900902,0.4671530208857692,-0.2185390936791156,-0.5518915965156439,-0.06724655222864802,-0.6342092007678162,-0.6968028453493174,1.1412671518551427,-0.2233936480662268,0.016080191837814273,-0.2702339975997517,-0.6711111967386733,-0.5263591404254221,171.65152000805296,171.7489949971594,-0.09747498910638797,0.0005678655749848003,Lipids and lipid-like molecules,6013,[M+H]+,56
all-cc-1498,1.3598931527549176,0.4542918169499378,1.6036886234316248,1.9005697750878456,2.050853006364698,1.8217316324790955,1.8720135153538364,-1.3700239983779217,1.7192101710934096,1.9780040951367128,1.7617034540845709,1.675768676886388,1.6578376866384632,286.2,286.39289087061644,-0.19289087061645205,0.0006739722942573447,Lipids and lipid-like molecules,PS(36:1),[M+H]+,33
all-cc-871,-0.7013330414431199,0.16040471417446114,-1.0375178429423697,-0.3827563295085066,-0.4061424816035834,-0.6045827537058855,-0.4465013487810209,-0.2751358152313305,-0.6324424201974984,-0.6663281223531069,-0.6766214879366163,-0.6711111967386733,-0.601101656723448,157.013809833806,161.08093837287814,-4.067128539072172,0.02590299887237368,Drug and Drug-Like Compounds,4380,[M+H]+,15
all-cc-3050,0.3877129143916057,-0.6421129622898021,-0.5461305933844172,-0.298188696004938,-0.4061424816035834,-0.21942781811820072,-0.4126204455374395,0.6242366209248025,-0.2074502386798698,-0.4957260438053766,-0.2941391440901555,0.5023287400738573,-0.08659041278584695,189.61187518071603,188.4304813240149,1.1813938567010778,0.006230590017503443,Metabolites,9571107,[M+H]+,8
all-cc-251,-1.1876255200946633,-0.6468158468063289,-0.7099263432370679,-0.8055944970263498,-0.6603144286347851,-0.8526836902435158,-0.6764832232945491,0.061752856506088666,-0.9819370319177914,-0.6663281223531069,-0.8917678063502504,0.5023287400738573,-0.8930576664561644,149.5663325,143.21153148659215,6.354801013407839,0.04248817837000742,Metabolites,1738,[M+Na]+,2
